track_id,class_id,track_length,first_frame,last_frame
1,2,566,0,565
2,2,782,0,781
3,2,68,0,67
5,2,889,0,911
6,2,657,0,710
7,2,23,0,22
8,2,203,0,212
9,2,242,0,243
10,7,199,0,241
13,2,48,0,104
14,2,229,3,272
15,2,8,3,10
18,5,1,15,15
20,2,6,39,46
21,7,2,42,43
22,2,36,59,96
25,2,8,69,76
27,5,2,72,73
28,2,95,83,188
31,2,24,87,115
32,7,2,97,98
33,2,3,109,111
34,2,781,111,911
35,2,313,117,471
37,2,47,123,178
38,2,15,133,152
39,2,95,143,261
42,7,4,170,173
43,2,296,171,487
45,2,6,191,196
46,2,21,192,223
47,7,1,192,192
51,7,7,201,207
52,2,7,211,217
53,2,2,211,212
54,7,3,218,220
55,2,2,225,226
59,2,305,237,603
60,2,1,243,243
61,2,635,251,911
63,7,132,261,426
64,2,23,264,286
66,2,93,268,361
67,2,12,269,280
69,2,2,276,277
71,2,2,283,284
72,2,25,283,310
73,2,1,286,286
74,2,598,288,911
75,2,55,289,343
76,7,1,291,291
77,2,85,294,380
78,2,5,297,301
79,7,1,305,305
80,7,1,310,310
81,2,18,321,343
83,2,3,351,357
85,2,68,366,458
88,2,18,399,419
89,2,90,438,553
90,2,6,460,465
91,2,8,460,467
92,7,2,469,470
94,2,2,489,490
98,5,3,517,521
100,2,383,529,911
101,2,6,536,541
102,2,285,537,910
103,2,1,545,545
106,7,2,567,568
107,2,61,567,627
108,2,105,569,673
110,2,66,576,641
111,2,327,579,911
112,2,2,602,603
113,7,1,592,592
114,2,1,595,595
115,2,6,597,608
117,2,17,611,627
120,2,1,625,625
121,7,183,627,874
122,2,142,636,780
123,2,84,648,733
125,2,51,657,707
126,2,157,670,827
127,2,9,673,683
128,2,21,675,695
129,2,3,689,691
132,2,21,703,723
133,2,197,709,911
134,7,2,716,717
135,7,3,727,729
136,2,10,737,749
137,2,14,738,751
138,2,4,832,881
139,7,6,749,754
140,2,2,753,754
141,2,109,756,865
142,7,3,757,759
144,7,144,762,911
145,7,3,763,765
146,2,2,765,766
147,2,1,768,768
148,2,130,772,911
149,2,5,772,776
150,2,133,779,911
151,2,2,780,781
152,2,119,789,907
153,2,10,789,825
154,2,2,805,806
158,2,20,834,853
159,2,40,840,892
160,2,1,847,847
161,2,60,852,911
163,2,15,874,889
164,2,19,893,911
